trial,mean_reward,learning_rate,n_steps,gamma,gae_lambda,ent_coef,vf_coef,net_arch
0,2.1187086,0.00043849617078649,128,0.9807243053524679,0.9703589873743054,0.006498220142016687,0.20414640417010144,"(64, 64)"
1,-0.309716,2.4363950706432877e-05,20,0.926319672892903,0.8997875522122676,1.20750172170266e-05,0.3411950940264413,"(64, 64)"
2,2.1071642000000006,0.00031451307268405115,5,0.9829841958414997,0.9678416238547245,0.0027682800963048735,0.34359761185367615,"(64, 64)"
3,-0.3143724,0.00012337842787694906,20,0.9793028344782846,0.8370737056305539,0.005761877741321976,0.52768376239984,"(128, 128)"
4,-0.010381400000000074,0.00015175682196610853,20,0.9969012156634244,0.9300528551523615,0.00017928017489412195,0.29076590137038016,"(64, 64)"
5,0.7732818,0.0001546947302576524,64,0.9174526490907002,0.9806511787763387,8.109177692723831e-05,0.6212862057802061,"(64, 64)"
6,0.5187029999999998,0.00011318957777344353,5,0.9504954860755437,0.9685430382522573,0.007346128256637069,0.8771960353524234,"(256, 256)"
7,-2.0,0.0007177610318492895,5,0.9608604952790696,0.9070119159279405,6.503120134635331e-05,0.7302684464458047,"(128, 128)"
8,-1.9832042,1.521000052756431e-05,64,0.9590532691782045,0.9447570652796629,0.0008033101779583123,0.8901888870982608,"(256, 256)"
9,-2.0,1.7699373608459424e-05,128,0.9837260948353637,0.8302364383790996,4.566535203454217e-05,0.8166457565217626,"(128, 128)"
10,1.3248193999999998,0.0009080855485706072,128,0.9046660671840983,0.9993126153722142,0.001141749716132366,0.1349593954914474,"(64, 64)"
11,0.4921817999999999,0.0003495880742209807,10,0.973610854848309,0.8786409961063422,0.001950047749861174,0.10396536226742302,"(64, 64)"
12,0.7987911999999999,0.0003512095487599617,128,0.9928258300609255,0.9499122362221362,0.0029973296111844745,0.34121648322497083,"(64, 64)"
13,1.3076263999999997,0.0003726309099483561,5,0.9388931768540244,0.9924842312734995,0.009884825699805542,0.48151698585884967,"(64, 64)"
14,2.1291078000000003,4.5813221834951135e-05,10,0.967978138941807,0.9565773647092091,0.0004896874233102866,0.2114654262809256,"(256, 256)"
15,-0.6381506,4.8628241005447345e-05,10,0.9685637816412037,0.9238114554673695,0.0004693455188986682,0.21188889184513782,"(256, 256)"
16,2.106174,3.784621088195528e-05,10,0.9416397498330579,0.8709760830117189,0.0002588114589059271,0.44602526991442226,"(256, 256)"
17,1.3186649999999998,6.092574501229683e-05,10,0.9644361384454374,0.9577488299137888,1.5510718503365212e-05,0.21522874279931933,"(256, 256)"
18,-2.0,1.0555770567665285e-05,128,0.9502432891774792,0.8018546313048612,0.000763874019551485,0.6320614481000458,"(256, 256)"
19,-2.0,7.308893880513404e-05,10,0.9885641959703062,0.9397370939220433,0.00013602340713354414,0.21608731127442893,"(256, 256)"
