trial,mean_reward,learning_rate,batch_size,n_steps,gamma,ent_coef,net_arch
0,1.3162077999999997,0.00020576015020288882,128,512,0.9630313306866994,0.003720020561963444,"[128, 128]"
1,-0.3398224000000001,0.0001889151771130478,32,2048,0.9881196714998663,0.005914167628997826,"[256, 256]"
2,1.2895672,0.0008966365284030966,128,1024,0.9687144061984091,2.1000559102151734e-05,"[256, 256]"
3,2.0987484,0.0003480415084957212,32,1024,0.9984127072071567,0.0001617957512987525,"[256, 256]"
4,2.1139457999999998,2.3309991098560443e-05,256,512,0.9810661604563955,0.0020667753926664405,"[128, 128]"
5,2.0965602,0.0008879587006490208,32,1024,0.9949050963711646,6.06447858312056e-05,"[128, 128]"
6,-1.4700242,1.1818035891115654e-05,64,1024,0.9653264540692572,0.009818921986719808,"[64, 64]"
7,0.45203740000000003,0.0008719712676084987,128,2048,0.9878935756686964,0.0003012470487684999,"[64, 64]"
8,1.2929150000000003,0.0006816440841333663,32,2048,0.9875847273194924,0.0007422374664885479,"[256, 256]"
9,0.47629900000000003,1.5208402344947124e-05,128,512,0.9720757315532801,0.0017194087125690725,"[128, 128]"
10,1.3203268000000001,4.223458186456319e-05,256,512,0.9526106436503429,0.0013846998567065842,"[128, 128]"
11,2.1228168,6.0183871447058676e-05,256,512,0.9803296628766869,0.00017796847779824184,"[256, 256]"
12,2.0882916000000002,4.4121103865246475e-05,256,512,0.9791512231563816,0.00010770912118756458,"[256, 256]"
13,1.3059891999999997,4.114210321109293e-05,256,512,0.9790824817251065,0.0005394057658225881,"[128, 128]"
14,1.3174742,8.058535256638748e-05,256,512,0.9797129536373506,1.1976625891947033e-05,"[64, 64]"
15,-1.1379134,1.9560221631195715e-05,256,512,0.9830831614782463,0.0022868429835972903,"[256, 256]"
16,1.2857178,2.65054211223922e-05,64,512,0.9573125431100976,6.787325879619791e-05,"[128, 128]"
17,0.476628,9.048550008864337e-05,256,512,0.9757913783912241,0.000373773329620104,"[128, 128]"
18,1.2579012,2.7281019953798503e-05,256,512,0.9921344034561439,0.000957643021196017,"[256, 256]"
19,0.4647742,6.832777856896292e-05,256,2048,0.9719658838760449,0.00021521436222193133,"[64, 64]"
